AS,001,uAir Force ROTC Physical Training, uJohn David Anthony  Gasa, u6:30 am,7:30 am, uM
BIO,359,, uMicrobiology for Nurses, uPaula A.  Tower, u10:20 am,11:15 am, uMWF
BIO,361,, uMicrobiology Lab, uDavid   Katz, u9:45 am,12:45 pm, uT
BIO,361,, uMicrobiology Lab, uDavid   Katz, u2:30 pm,5:30 pm, uT
BIO,365,, uHuman Anatomy & Physiology Lab 1, uPatrick Michael  Geraghty, u5:10 pm,8:10 pm, uM
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJohn M  White, u9:15 am,12:15 pm, uM
BIO,365,, uHuman Anatomy & Physiology Lab 1, uKristin M   Carson, u5:10 pm,8:10 pm, uW
BIO,365,, uHuman Anatomy & Physiology Lab 1, uPatrick Michael  Geraghty, u1:35 pm,4:35 pm, uR
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJonathan Edwin  Elliott, u1:35 pm,4:35 pm, uW
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJohn M  White, u1:35 pm,4:35 pm, uM
BIO,365,, uHuman Anatomy & Physiology Lab 1, uBonnie Jean  Sumner, u9:15 am,12:15 pm, uW
BIO,365,, uHuman Anatomy & Physiology Lab 1, uBonnie Jean  Sumner, u9:15 am,12:15 pm, uF
BIO,365,, uHuman Anatomy & Physiology Lab 1, uJonathan Edwin  Elliott, u5:10 pm,8:10 pm, uR
BIO,366,, uHuman Anatomy & Physiology Lab 2, uKyle L  Flann, u9:15 am,12:15 pm, uM
BIO,366,, uHuman Anatomy & Physiology Lab 2, uAmy S  Beadles-Bohling, u1:35 pm,4:35 pm, uM
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u9:45 am,12:45 pm, uT
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u12:55 pm,3:55 pm, uT
BIO,366,, uHuman Anatomy & Physiology Lab 2, uKyle L  Flann, u9:15 am,12:15 pm, uW
BIO,366,, uHuman Anatomy & Physiology Lab 2, uJohn M  White, u12:30 pm,3:30 pm, uW
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u9:45 am,12:45 pm, uR
BIO,366,, uHuman Anatomy & Physiology Lab 2, uKyle L  Flann, u9:15 am,12:15 pm, uF
BIO,366,, uHuman Anatomy & Physiology Lab 2, uChristie Engesser  Cesar, u12:55 pm,3:55 pm, uR
BIO,368,, uMarine Biology Laboratory, uTara Elaine  Prestholdt, u1:35 pm,4:35 pm, uW
BIO,368,, uMarine Biology Laboratory, uTara Elaine  Prestholdt, u12:55 pm,3:55 pm, uR
BIO,374,, uWetlands Ecology Laboratory, uChristine L  Weilhoefer, u10:20 am,1:20 pm, uW
BIO,374,, uWetlands Ecology Laboratory, uChristine L  Weilhoefer, u1:35 pm,4:35 pm, uW
BIO,375,, uVertebrate Biology Laboratory, uKathleen M  OReilly , u1:35 pm,4:35 pm, uM
BIO,375,, uVertebrate Biology Laboratory, uKathleen M  OReilly , u12:55 pm,3:55 pm, uT
BIO,376,, uDevelopmental Biology Laboratory, uLaura   Dyer, u12:55 pm,3:55 pm, uW
BIO,376,, uDevelopmental Biology Laboratory, uLaura   Dyer, u12:55 pm,3:55 pm, uR
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u9:45 am,12:45 pm, uR
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u2:30 pm,5:30 pm, uR
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u11:25 am,2:25 pm, uF
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u1:35 pm,4:35 pm, uW
BIO,379,, uMicrobiology Lab for Nurses, uPriya   Mani, u5:10 pm,8:10 pm, uW
BIO,387,, uService Learning In Biology, uAmy S  Beadles-Bohling, u2:30 pm,3:45 pm, uR
BIO,400,, uImmunology, uSusan Elizabeth  Murray, u9:15 am,10:10 am, uMWF
BIO,400,, uImmunology, uSusan Elizabeth  Murray, u10:20 am,11:15 am, uMWF
BIO,453,, uEvolution, uAmelia J  Ahern-Rindell, u9:45 am,11:10 am, uTR
BIO,453,, uEvolution, uJulia Cleverly  Ruppell, u4:10 pm,6:55 pm, uW
BIO,453,, uEvolution, uAmelia J  Ahern-Rindell, u5:10 pm,8:10 pm, uM
BIO,470,, uImmunology Laboratory, uSusan Elizabeth  Murray, u12:55 pm,3:55 pm, uT
BIO,497I,, uOT/PT Internship, uElizabeth K.  Winegar, u6:00 pm,7:30 pm, uM
BME,200,uIntroduction to Biomedical Engineering, uKathleen   Bieryla, u9:15 am,10:10 am, uMWF
BME,562,, uBiomechanics, uJennifer Elaine  Symons, u4:10 pm,5:35 pm, uTR
BME,563,, uDigital Signal Processing, uJoseph P  Hoffbeck, u8:10 am,9:35 am, uTR
BME,578,, uManagement of Technology for Medical Devices, uPeter B  Rachor, u4:10 pm,6:55 pm, uW
BME,584,, uBiomedical Device Optimization, uKathleen   Bieryla, u11:20 am,12:45 pm, uTR
BUS,100,uIntroduction of Leadership Skills, uMontana   Hisel-Cochran, u11:20 am,12:45 pm, uTR
BUS,101,, uSoftware Applications Workshop, uRobert B  Stratton, u9:15 am,10:10 am, uM
BUS,101,, uSoftware Applications Workshop, uRobert B  Stratton, u10:20 am,11:15 am, uM
BUS,101,, uSoftware Applications Workshop, uRobert B  Stratton, u11:25 am,12:20 pm, uM
BUS,101,, uSoftware Applications Workshop, uRobert B  Stratton, u1:35 pm,2:30 pm, uM
BUS,150,, uSmart Money I, uC Christopher  Dunnaville, u10:20 am,11:15 am, uF
BUS,200,, uPrinciples of Marketing, uElena Kiryanova  Bernard, u2:30 pm,3:55 pm, uTR
BUS,200,, uPrinciples of Marketing, uTyler   Laird-Magee, u8:10 am,9:35 am, uTR
BUS,200,, uPrinciples of Marketing, uIan David  Parkman, u2:40 pm,3:35 pm, uMWF
BUS,202,, uProfessional Development, uGwendolyn Marie  Klobes, u2:40 pm,3:35 pm, uM
BUS,202,, uProfessional Development, uGwendolyn Marie  Klobes, u10:20 am,11:15 am, uW
BUS,202,, uProfessional Development, uGwendolyn Marie  Klobes, u2:40 pm,3:35 pm, uW
BUS,205,, uBusiness Finance, uMadhuparna   Kolay, u9:15 am,10:10 am, uMWF
BUS,205,, uBusiness Finance, uRichard D  Gritta, u9:15 am,10:10 am, uMWF
BUS,205,, uBusiness Finance, uC Christopher  Dunnaville, u11:25 am,12:20 pm, uMWF
BUS,205,, uBusiness Finance, uC Christopher  Dunnaville, u12:30 pm,1:25 pm, uMWF
BUS,209,, uFinancial Accounting, uEllen June  Lippman, u4:10 pm,6:55 pm, uW
BUS,209,, uFinancial Accounting, uLizhong   Hao, u12:55 pm,2:20 pm, uTR
BUS,209,, uFinancial Accounting, uLizhong   Hao, u2:30 pm,3:55 pm, uTR
BUS,210,, uManagerial Accounting, uEvelyn Claire  Costin, u9:45 am,11:10 am, uTR
BUS,210,, uManagerial Accounting, uEvelyn Claire  Costin, u11:20 am,12:45 pm, uTR
BUS,210,, uManagerial Accounting, uHenghsiu   Lin, u12:55 pm,2:20 pm, uTR
BUS,210,, uManagerial Accounting, uHenghsiu   Lin, u2:30 pm,3:55 pm, uTR
BUS,250,, uLegal and Social Responsibility in Business, uBarbara Ann  Bloom-Groshong, u9:45 am,11:10 am, uTR
BUS,250,, uLegal and Social Responsibility in Business, uBarbara Ann  Bloom-Groshong, u12:55 pm,2:20 pm, uTR
BUS,250,, uLegal and Social Responsibility in Business, uBarbara Ann  Bloom-Groshong, u2:30 pm,3:55 pm, uTR
BUS,255,, uIntroduction to Operations & Technology Management, uNaveen   Gudigantala, u9:15 am,10:10 am, uMWF
BUS,255,, uIntroduction to Operations & Technology Management, uWilfred W  Wu, u1:35 pm,2:30 pm, uMWF
BUS,255,, uIntroduction to Operations & Technology Management, uWilfred W  Wu, u2:40 pm,3:35 pm, uMWF
BUS,302,, uInternship Preparation, uMontana   Hisel-Cochran, u9:15 am,10:10 am, uM
BUS,302,, uInternship Preparation, uMontana   Hisel-Cochran, u10:20 am,11:15 am, uM
BUS,311,, uIntermediate Accounting II, uEllen June  Lippman, u4:10 pm,5:35 pm, uTR
BUS,311,, uIntermediate Accounting II, uEllen June  Lippman, u5:45 pm,7:05 pm, uTR
BUS,312,, uCost Accounting, uLizhong   Hao, u9:45 am,11:10 am, uTR
BUS,330,, uManagerial Finance, uMadhuparna   Kolay, u10:20 am,11:15 am, uMWF
BUS,355,, uDecision Modeling, uMin   Yu, u12:30 pm,1:25 pm, uMWF
BUS,355,, uDecision Modeling, uMin   Yu, u2:40 pm,3:35 pm, uMWF
BUS,355,, uDecision Modeling, uEvelyn Claire  Costin, u2:30 pm,3:55 pm, uTR
BUS,360,, uCross Cultural Organizational Behavior and Ethics, uDaniel J  Parrish, u9:45 am,11:10 am, uTR
BUS,360,, uCross Cultural Organizational Behavior and Ethics, uDaniel J  Parrish, u11:20 am,12:45 pm, uTR
BUS,360,, uCross Cultural Organizational Behavior and Ethics, uDaniel J  Parrish, u2:30 pm,3:55 pm, uTR
BUS,361,, uFoundations of Operations Management, uJoshua Stephen  Grover, u7:10 pm,9:55 pm, uT
BUS,364,, uInnovation, uJonathan Taylor  Down, u8:10 am,9:05 am, uMWF
BUS,364,, uInnovation, uBeatriz Itzel   Cruz Megchun, u9:15 am,10:10 am, uMWF
BUS,364,, uInnovation, uBeatriz Itzel   Cruz Megchun, u10:20 am,11:15 am, uMWF
BUS,364,, uInnovation, uJonathan Taylor  Down, u12:30 pm,1:25 pm, uMWF
BUS,371,, uConsumer Behavior, uDebra Lynn  Stephens, u10:20 am,11:15 am, uMWF
BUS,371,, uConsumer Behavior, uDebra Lynn  Stephens, u11:25 am,12:20 pm, uMWF
BUS,371,, uConsumer Behavior, uDebra Lynn  Stephens, u1:35 pm,2:30 pm, uMWF
BUS,371H,, uConsumer Behavior (Honors), uDebra Lynn  Stephens, u11:25 am,12:20 pm, uMWF
BUS,385,, uOpportunity Assessment, uJonathan Taylor  Down, u4:10 pm,6:55 pm, uR
BUS,400,, uManagement Decisions and Policy, uSamuel Scott  Holloway, u11:25 am,12:20 pm, uMWF
BUS,400,, uManagement Decisions and Policy, uSamuel Scott  Holloway, u1:35 pm,2:30 pm, uMWF
BUS,408,, uInnovation for Sustainability, uGregory M  Hill, u7:10 pm,9:55 pm, uW
BUS,430,, uInvestments, uRichard D  Gritta, u1:35 pm,2:30 pm, uMWF
BUS,431,, uFinancial Markets and Institutions, uBrian J.  Adams, u7:10 pm,9:55 pm, uR
BUS,432,, uPersonal Financial Planning, uC Christopher  Dunnaville, u8:10 am,9:05 am, uMWF
BUS,441,, uInternational Finance, uArjun   Chatrath, u4:10 pm,5:35 pm, uTR
BUS,443,, uInternational Marketing Management, uTyler   Laird-Magee, u2:30 pm,3:55 pm, uTR
BUS,450,, uAdvanced Business Law, uBarbara Ann  Bloom-Groshong, u8:10 am,9:05 am, uMWF
BUS,452,, uProject Management, uGary F  Mitchell, u11:20 am,12:45 pm, uTR
BUS,452,, uProject Management, uGary F  Mitchell, u12:55 pm,2:20 pm, uTR
BUS,456,, uSystems Analysis and Design, uTae-In   Eom, u9:45 am,11:10 am, uTR
BUS,456,, uSystems Analysis and Design, uTae-In   Eom, u7:10 pm,9:55 pm, uR
BUS,459,, uBusiness Analytics, uNaveen   Gudigantala, u11:25 am,12:20 pm, uMWF
BUS,464,, uBusiness Taxation, uJames John  Jurinski, u2:40 pm,3:35 pm, uMWF
BUS,465,, uAuditing, uTeri O  Grimmer, u4:10 pm,6:55 pm, uW
BUS,466,, uAdvanced Accounting II, uHenghsiu   Lin, u9:45 am,11:10 am, uTR
BUS,468,, uApplied Portfolio Management, uBrian J.  Adams, u7:10 pm,9:55 pm, uT
BUS,471,, uBrand Promotions Management, uTyler   Laird-Magee, u12:55 pm,2:20 pm, uTR
BUS,474,, uDigital Marketing, uElena Kiryanova  Bernard, u4:10 pm,5:35 pm, uTR
BUS,476,, uProduct Design & Development, uIan David  Parkman, u4:10 pm,5:35 pm, uMW
BUS,483,, uStrategic Controls for New Venture Operations, uMark R  Meckler, u7:10 pm,9:55 pm, uR
BUS,486,, uVenture Launch, uJonathan Taylor  Down, u2:40 pm,3:35 pm, uMWF
BUS,487,, uSocial Entrepreneurship, uPeter B  Rachor, u7:10 pm,9:55 pm, uT
BUS,491,, uAccounting Ethics, uJames John  Jurinski, u4:10 pm,6:55 pm, uM
BUS,491,, uDesign Thinking, uBeatriz Itzel   Cruz Megchun, u7:10 pm,9:55 pm, uW
BUS,491,, uProduction and Service Operations Management, uMin   Yu, u4:10 pm,6:55 pm, uW
BUS,491,, uWebsite Marketing, uElena Kiryanova  Bernard, u11:20 am,12:45 pm, uTR
BUS,491,, uAccounting Analytics, uTeri O  Grimmer, u1:35 pm,2:30 pm, uMWF
BUS,491,, uComputing Concepts and Programming, uBenjamin Raymond  Tribelhorn, u9:15 am,10:10 am, uMWF
BUS,491,, uMarketing Operations, uJoseph Essa  Barhoum, u7:10 pm,9:55 pm, uR
BUS,491,, uReal Estate Law, uJames John  Jurinski, u7:10 pm,9:55 pm, uW
BUS,501,, uEconomic Analysis, uBahram   Adrangi, u7:10 pm,9:55 pm, uT
BUS,505,, uIntroduction to Operations & Technology  Management, uTimothy Dean  Larson, u7:10 pm,9:55 pm, uT
BUS,506,, uPrinciples of Accounting, uTeri O  Grimmer, u4:10 pm,6:55 pm, uM
BUS,510,, uEconomics and Metrics for Sustainability, uWilliam F  Barnes, u7:10 pm,9:55 pm, uW
